Name, Positive Counts, Negative Counts, Score
MichaelJordan, 0, 0, 0
BabeRuth, 2, 0, 2
MuhammadAli, 1, 0, 1
JimBrown, 0, 0, 0
WayneGretzky, 0, 0, 0
JesseOwens, 0, 0, 0
JimThorpe, 0, 0, 0
WillieMays, 0, 0, 0
JackNicklaus, 1, 0, 1
BabeDidrikson, 0, 0, 0
JoeLouis, 0, 0, 0
CarlLewis, 0, 2, -2
WiltChamberlain, 0, 0, 0
HankAaron, 0, 0, 0
JackieRobinson, 0, 1, -1
TedWilliams, 0, 0, 0
MagicJohnson, 0, 0, 0
BillRussell, 0, 0, 0
MartinaNavratilova, 0, 0, 0
TyCobb, 0, 0, 0
GordieHowe, 1, 0, 1
JoeDiMaggio, 0, 0, 0
JackieJoynerKersee, 0, 0, 0
SugarRayRobinson, 1, 0, 1
JoeMontana, 0, 0, 0
KareemAbdulJabbar, 0, 0, 0
JerryRice, 0, 0, 0
RedGrange, 1, 0, 1
ArnoldPalmer, 0, 0, 0
